UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
198561,"R",304,"R",13702254,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",923963,"R",46,"R",3983360,"R",9,"R",441339,"R",9,"R",420726,"R",104,"R",4529543,"R",7,"R",259200,"R",43,"R",1172543,"Z",0,"Z",0,"R",65,"R",1971580,"Z",0,"Z",0,"Z",0,"Z",0
198570,"R",249,"R",12588564,"Z",0,"Z",0,"Z",0,"Z",0,"R",53,"R",2915928,"R",50,"R",3621096,"R",12,"R",609180,"R",29,"R",1384728,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",404112,"Z",0,"Z",0,"R",58,"R",2388096,"R",31,"R",1070568,"R",4,"R",194856
198598,"R",80,"R",4045497,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",497466,"R",12,"R",1103048,"R",8,"R",374305,"R",2,"R",72000,"R",28,"R",1140950,"R",6,"R",171564,"R",9,"R",201475,"Z",0,"Z",0,"R",3,"R",484689,"Z",0,"Z",0,"Z",0,"Z",0
198613,"R",193,"R",10221821,"Z",0,"Z",0,"Z",0,"Z",0,"R",42,"R",1802717,"R",22,"R",2358068,"R",14,"R",937905,"R",9,"R",529837,"R",30,"R",1743888,"R",4,"R",147823,"R",29,"R",849154,"Z",0,"Z",0,"R",28,"R",1058068,"R",15,"R",794361,"Z",0,"Z",0
198622,"R",378,"R",18959855,"Z",0,"Z",0,"Z",0,"Z",0,"R",62,"R",2900832,"R",60,"R",5058802,"R",12,"R",647204,"R",33,"R",1649376,"R",18,"R",899742,"Z",0,"Z",0,"R",62,"R",2447978,"R",9,"R",312582,"R",98,"R",3956615,"R",21,"R",979137,"R",3,"R",107587
198640,"R",73,"R",3570615,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",197185,"R",17,"R",1224913,"R",12,"R",553564,"R",5,"R",238652,"R",13,"R",558590,"Z",0,"Z",0,"R",3,"R",92967,"Z",0,"Z",0,"R",19,"R",704744,"Z",0,"Z",0,"Z",0,"Z",0
198668,"R",101,"R",4534941,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",182058,"R",35,"R",2133599,"R",4,"R",185117,"R",8,"R",405088,"R",4,"R",196684,"Z",0,"Z",0,"R",21,"R",560832,"Z",0,"Z",0,"R",21,"R",728874,"R",4,"R",142689,"Z",0,"Z",0
198677,"R",5,"R",174242,"R",1,"R",19247,"Z",0,"Z",0,"R",1,"R",41153,"R",1,"R",56100,"R",1,"R",31212,"Z",0,"Z",0,"R",1,"R",26530,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
198695,"R",477,"R",24395772,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",623835,"R",76,"R",7838183,"R",52,"R",2414812,"R",48,"R",2539129,"R",113,"R",5089350,"R",13,"R",480722,"R",93,"R",3048143,"Z",0,"Z",0,"R",48,"R",1744614,"R",7,"R",246656,"R",14,"R",370328
198710,"R",131,"R",5817593,"R",1,"R",71472,"R",1,"R",57444,"R",27,"R",1060286,"R",35,"R",2372592,"R",9,"R",336972,"R",5,"R",216744,"R",7,"R",270795,"Z",0,"Z",0,"R",17,"R",488784,"R",3,"R",83136,"R",23,"R",751620,"R",2,"R",78720,"R",1,"R",29028
